campo,business_term,spiegazione,obbligatorio,numerosità,condizionalità,calcolo,offset,lunghezza,xmlpath
E1EDK17.LKOND,IDOC delivery condition code,IDOC delivery condition code,NO,0..1,,,1796.0,3.0,/IDOC/E1EDK17/LKOND
E1EDK17.QUALF,IDOC qualifier,IDOC qualifier: Terms of deliv,NO,0..1,IF ier: terms of deliv,,1799.0,3.0,/IDOC/E1EDK17/QUALF
E1EDK17.LKOND,IDOC delivery condition code,IDOC delivery condition code,NO,0..1,,,1802.0,3.0,/IDOC/E1EDK17/LKOND
E1EDK17.LKTEXT,IDOC delivery condition text,IDOC delivery condition text,NO,0..1,,,1805.0,40.0,/IDOC/E1EDK17/LKTEXT
E1EDK18.QUALF,IDOC qualifier,IDOC qualifier: Terms of payme,NO,0..1,IF ier: terms of payme,,1845.0,3.0,/IDOC/E1EDK18/QUALF
E1EDK18.TAGE,IDOC Number of days,IDOC Number of days,NO,0..1,,,1848.0,3.0,/IDOC/E1EDK18/TAGE
E1EDK18.PRZNT,IDOC percentage for terms of p,IDOC percentage for terms of p,NO,0..1,,,1851.0,5.0,/IDOC/E1EDK18/PRZNT
E1EDK18.ZTERM_TXT,Text line,Text line,NO,0..1,,,1856.0,20.0,/IDOC/E1EDK18/ZTERM_TXT
E1EDK28.BCOUN,Country Key,Country Key,NO,0..1,,,1876.0,2.0,/IDOC/E1EDK28/BCOUN
E1EDK28.BRNUM,Bank Key,Bank Key,NO,0..1,,,1878.0,11.0,/IDOC/E1EDK28/BRNUM
E1EDK28.BNAME,Bank name,Bank name,NO,0..1,,,1889.0,35.0,/IDOC/E1EDK28/BNAME
E1EDK28.BALOC,Location of bank,Location of bank,NO,0..1,,,1924.0,20.0,/IDOC/E1EDK28/BALOC
E1EDK28.ACNUM,Account number in bank data,Account number in bank data,NO,0..1,,,1944.0,18.0,/IDOC/E1EDK28/ACNUM
E1EDK28.ACNAM,Account holder in bank data,Account holder in bank data,NO,0..1,,,1962.0,35.0,/IDOC/E1EDK28/ACNAM
